id,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
35844434,Near North Side,60610,41.89654,-87.6314,Serviced apartment,Entire home/apt,4,1,1,2,$155.00 ,
35845457,Hyde Park,60615,41.79527,-87.58227,Serviced apartment,Entire home/apt,3,1,0,1,$56.00 ,80
35845480,Loop,60605,41.87097,-87.62389,Apartment,Private room,2,1,1,1,$150.00 ,
35845623,Bridgeport,60608,41.83824,-87.6572,Apartment,Entire home/apt,6,1,2,3,$119.00 ,90
35845701,Hyde Park,60637,41.79439,-87.58411,Serviced apartment,Entire home/apt,3,1,0,1,$53.00 ,
35845966,Hyde Park,60615,41.79838,-87.58336,Serviced apartment,Entire home/apt,3,1,0,1,$56.00 ,
35846149,Near North Side,60611,41.89131,-87.6219,Apartment,Entire home/apt,4,1,1,1,$199.00 ,100
35846172,Hyde Park,60637,41.79482,-87.58554,Serviced apartment,Entire home/apt,3,1,1,1,$55.00 ,100
35846336,Hyde Park,60637,41.79342,-87.58523,Serviced apartment,Entire home/apt,3,1,1,1,$55.00 ,
35846414,Hyde Park,60615,41.80043,-87.58508,Apartment,Entire home/apt,3,1,1,1,$55.00 ,
35846560,Kenwood,60615,41.80297,-87.58552,Apartment,Entire home/apt,3,1,1,1,$55.00 ,
35847438,Edgewater,60660,41.99615,-87.65785,Apartment,Private room,2,1,1,1,$35.00 ,100
35865758,Uptown,60613,41.95819,-87.65206,House,Entire home/apt,10,4.5,4,4,"$1,500.00 ",
35867025,Near North Side,60654,41.89382,-87.63598,Apartment,Entire home/apt,5,2,2,2,$300.00 ,
35868586,Portage Park,60630,41.96362,-87.77502,Guest suite,Entire home/apt,8,1,2,2,$85.00 ,100
35874202,West Ridge,60202,42.02206,-87.69728,Guest suite,Entire home/apt,5,1,2,3,$80.00 ,93
35874797,Loop,60605,41.87006,-87.62378,Apartment,Entire home/apt,4,2,2,2,$300.00 ,
35875631,Loop,60605,41.87029,-87.62527,Apartment,Private room,2,1,1,1,$135.00 ,
35879927,Rogers Park,60626,42.00751,-87.67712,Condominium,Private room,2,1,1,1,$50.00 ,100
35880364,Calumet Heights,60617,41.73233,-87.58356,Apartment,Entire home/apt,2,1,1,1,$85.00 ,100
35881617,Armour Square,60616,41.85716,-87.63223,Condominium,Entire home/apt,6,2,3,3,$180.00 ,
35883422,Loop,60605,41.87204,-87.62546,Apartment,Private room,2,1,1,1,$135.00 ,
35883953,Armour Square,60616,41.84019,-87.63265,Apartment,Private room,2,1,1,1,$39.00 ,
35884009,Lake View,60657,41.94103,-87.67089,Condominium,Entire home/apt,4,1,2,2,$200.00 ,100
35899905,Uptown,60640,41.96755,-87.66603,Apartment,Private room,2,1,1,1,$60.00 ,80
35900689,Uptown,60640,41.96571,-87.66785,Apartment,Private room,2,1,1,1,$60.00 ,100
35903060,Logan Square,60647,41.9205,-87.7022,Condominium,Entire home/apt,5,1,2,2,"$5,000.00 ",87
35904754,Logan Square,60647,41.92187,-87.70324,Condominium,Entire home/apt,5,1,2,2,"$5,000.00 ",100
35906682,Lincoln Park,60614,41.92369,-87.64679,Condominium,Entire home/apt,16,2,6,7,$799.00 ,
35907616,South Shore,60649,41.76611,-87.56117,Condominium,Private room,4,2,2,2,$125.00 ,
35908516,Armour Square,60616,41.85221,-87.63438,House,Private room,2,1,1,1,$70.00 ,100
35908714,Near North Side,60611,41.89964,-87.62862,Condominium,Entire home/apt,2,1,1,1,$130.00 ,
35910713,Roseland,60628,41.68681,-87.63932,Apartment,Entire home/apt,4,1,2,2,$150.00 ,90
35912460,Loop,60601,41.88327,-87.61156,Boat,Entire home/apt,5,1,1,3,$200.00 ,
35914799,West Town,60622,41.90544,-87.67839,Apartment,Entire home/apt,4,1,1,1,$130.00 ,
35923405,Loop,60605,41.8747,-87.63229,Loft,Entire home/apt,4,1,1,1,$119.00 ,100
35926772,Near North Side,60611,41.89555,-87.62608,Apartment,Entire home/apt,2,1,1,1,$166.00 ,
35926813,Near North Side,60611,41.89555,-87.62861,Apartment,Entire home/apt,2,1,0,1,$156.00 ,
35926860,Near North Side,60611,41.89434,-87.62735,Apartment,Entire home/apt,2,1,0,1,$156.00 ,
35926897,Near North Side,60611,41.89418,-87.62899,Apartment,Entire home/apt,2,1,0,1,$154.00 ,
35927069,Near North Side,60611,41.89559,-87.62517,Apartment,Entire home/apt,2,1,1,1,$156.00 ,
35927225,Irving Park,60618,41.95573,-87.71165,Apartment,Private room,2,1,1,1,$80.00 ,100
35927375,Irving Park,60618,41.95667,-87.71146,Apartment,Private room,2,1,1,1,$80.00 ,
